id,symbol,opened_at,entry,stop_loss,target_1,target_2,status,resolved_at,resolved_price,pnl_pct,invested_eur
WDC_2026-07-17T17:18:46.953203+00:00,WDC,2026-07-17T17:18:46.953203+00:00,492.3,461.38,538.68,585.06,abgelaufen_verlust,2026-07-20T18:54:09.988787+00:00,492.07,-0.05,
NTAP_2026-07-17T17:18:46.953203+00:00,NTAP,2026-07-17T17:18:46.953203+00:00,164.68,160.83,170.45,176.23,abgelaufen_verlust,2026-07-20T18:54:09.988787+00:00,162.99,-1.03,
HPQ_2026-07-17T17:18:46.953203+00:00,HPQ,2026-07-17T17:18:46.953203+00:00,25.04,24.5,25.85,26.66,stop_loss_ausgeloest,2026-07-20T14:13:31.163687+00:00,24.11,-3.71,
HPE_2026-07-17T18:04:10.683392+00:00,HPE,2026-07-17T18:04:10.683392+00:00,46.41,44.85,48.75,51.1,abgelaufen_verlust,2026-07-20T18:54:09.988787+00:00,45.29,-2.41,
TEL_2026-07-17T19:32:59.161594+00:00,TEL,2026-07-17T19:32:59.161594+00:00,203.86,200.35,209.12,214.38,open,,,,
TRV_2026-07-17T19:32:59.161594+00:00,TRV,2026-07-17T19:32:59.161594+00:00,367.57,354.38,387.36,407.14,open,,,,
APA_2026-07-17T20:14:20.131949+00:00,APA,2026-07-17T20:14:20.131949+00:00,35.22,34.69,36.01,36.8,stop_loss_ausgeloest,2026-07-20T14:13:31.163687+00:00,34.67,-1.56,
VLO_2026-07-18T01:07:34.603393+00:00,VLO,2026-07-18T01:07:34.603393+00:00,309.65,305.96,315.18,320.72,open,,,,
GEV_2026-07-19T07:49:57.196501+00:00,GEV,2026-07-19T07:49:57.196501+00:00,1057.84,1014.28,1123.17,1188.5,open,,,,
GOOGL_2026-07-20T14:13:31.163687+00:00,GOOGL,2026-07-20T14:13:31.163687+00:00,358.25,353.18,365.86,373.47,stop_loss_ausgeloest,2026-07-20T18:54:09.988787+00:00,351.44,-1.9,
GOOG_2026-07-20T14:13:31.163687+00:00,GOOG,2026-07-20T14:13:31.163687+00:00,358.11,352.93,365.88,373.64,stop_loss_ausgeloest,2026-07-20T18:54:09.988787+00:00,351.14,-1.95,
WRB_2026-07-20T14:13:31.163687+00:00,WRB,2026-07-20T14:13:31.163687+00:00,72.52,71.91,73.44,74.36,open,,,,
COP_2026-07-20T15:32:08.991739+00:00,COP,2026-07-20T15:32:08.991739+00:00,116.09,114.59,118.34,120.59,open,,,,
AMZN_2026-07-20T15:32:08.991739+00:00,AMZN,2026-07-20T15:32:08.991739+00:00,251.41,249.7,253.97,256.52,stop_loss_ausgeloest,2026-07-20T18:54:09.988787+00:00,249.29,-0.84,
GPN_2026-07-20T15:32:08.991739+00:00,GPN,2026-07-20T15:32:08.991739+00:00,81.77,80.26,84.03,86.3,open,,,,
XOM_2026-07-20T18:54:09.988787+00:00,XOM,2026-07-20T18:54:09.988787+00:00,148.8,147.37,150.95,153.09,open,,,,
ELV_2026-07-20T18:54:09.988787+00:00,ELV,2026-07-20T18:54:09.988787+00:00,385.1,378.03,395.71,406.32,open,,,,
